,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,,,,M+I+,Std,,,,,,,,,,,,,,,,,,,
B,,,,M-I+,SHMT+TDCB+,,,,,,,,,,,,,,,,,,,
C,,,,M+I-,SHMT-TDCB+,,,,,,,,,,,,,,,,,,,
D,,,,M-I-,,,,,,,,,,,,,,,,,,,,
E,,,,ME+,,,,,,,,,,,,,,,,,,,,
F,,,,ME-,,,,,,,,,,,,,,,,,,,,
G,,,,SHMT+,,,,,,,,,,,,,,,,,,,,
H,,,,SHMT-,,,,,,,,,,,,,,,,,,,,
I,,,,ACS+,,,,,,,,,,,,,,,,,,,,
J,,,,ACS-,,,,,,,,,,,,,,,,,,,,
K,,,,,,,,,,,,,,,,,,,,,,,,
L,,,,,,,,,,,,,,,,,,,,,,,,
M,,,,,,,,,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,
