,Biotin,ATP,acetyl-CoA,Mg-Act,HCT,Kan,formate,HCO3,NADH,PLP,Malate,Pyruvate,Serine,AMP,KOH,std,1,2,3,4,5
1,1,1,1,2,10,1,15,10,1,1,,,1,1,30,,10,,,,
2,1,1,1,2,10,1,15,10,1,1,,,1,1,30,,,10,,,
3,1,1,1,2,10,1,15,10,1,1,,,1,1,30,,,,10,,
4,1,1,1,2,10,1,15,10,1,1,,,1,1,30,,,,,10,
5,1,1,1,2,10,1,15,10,1,1,,,1,1,30,,,,,,10
std_.375,,0.375,,,,,,,,,0.375,0.375,0.375,,,10,,,,,
std_.25,,0.25,,,,,,,,,0.25,0.25,0.25,,,10,,,,,
std_.125,,0.125,,,,,,,,,0.125,0.125,0.125,,,10,,,,,
std_.0675,,0.0675,,,,,,,,,0.0675,0.0675,0.0675,,,10,,,,,
std_.03875,,0.03875,,,,,,,,,0.03875,0.03875,0.03875,,,10,,,,,
