,AMP,Serine,PLP,KOH,Kan,Biotin,ATP,Bicarbonate,AcCoA,sds_RC,sds_magic,sds_linear,acc_RC,ACC_plasmids,ACC_linear,neg,Serine,Pyruvate,MalCoA,Std
Std_1,,,,,,,,,0.5,,,,,,,,0.5,0.5,0.5,10
Std_2,,,,,,,,,0.25,,,,,,,,0.25,0.25,0.25,10
Std_3,,,,,,,,,0.125,,,,,,,,0.125,0.125,0.125,10
Std_4,,,,,,,,,0.0675,,,,,,,,0.0675,0.0675,0.0675,10
Std_5,,,,,,,,,0,,,,,,,,0,0,0,10
sds_RC,1,1,0.5,30,1,,,,,10,,,,,,,,,,
sds_magic,1,1,0.5,30,1,,,,,,10,,,,,,,,,
sds_linear,1,1,0.5,30,1,,,,,,,10,,,,,,,,
sds_neg,1,1,0.5,30,1,,,,,,,,,,,10,,,,
acc_RC,,,,,,1,1,10,1,,,,10,,,,,,,
ACC_plasmids,,,,,,1,1,10,1,,,,,10,,,,,,
ACC_linear,,,,,,1,1,10,1,,,,,,10,,,,,
ACC_neg,,,,,,1,1,10,1,,,,,,,10,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
