,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,,,,,,,,,,,,,,,Blank,,,,,,,,,
B,,,,,,,,,,,,,,,DHFR,,,,,,,,,
C,,,,,,,,,,,,,,,GFP,,,,,,,,,
D,,,,,,,,,,,,,,,TdcB,,,,,,,,,
E,,,,,,,,,,,,,,,glyA,,,,,,,,,
F,,,,,,,,,,,,,,,Pyc,,,,,,,,,
G,,,,,,,,,,,,,,,,,,,,,,,,
H,,,,,,,,,,,,,,,,,,,,,,,,
I,,,,,,,,,,,,,,,,,,,,,,,,
J,,,,,,,,,,,,,,,,,,,,,,,,
K,,,,,,,,,,,,,,,,,,,,,,,,
L,,,,,,,,,,,,,,,,,,,,,,,,
M,,,,,,,,,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,
