Sample Name,Sample Position,Method,Data File
blank_1,P3-f1,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230228_pure_hydrogel\blank_1
blank_2,P3-f2,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\blank_2
blank_3,P3-f3,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\blank_3
fdh_1,P3-f4,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\fdh_1
fdh_2,P3-f5,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\fdh_2
fdh_3,P3-f6,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\fdh_3
fdh_4,P3-f7,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\fdh_4
fdh_5,P3-f8,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\fdh_5
fdh_6,P3-f9,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\fdh_6
tdcb_1,p3-a3,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\tdcb_1
tdcb_2,p3-a4,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\tdcb_2
tdcb_3,p3-a5,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\tdcb_3
tdcb-neg_1,P3-B3,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\tdcb-neg_1
tdcb-neg_2,P3-B4,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\tdcb-neg_2
tdcb-neg_3,P3-B5,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\tdcb-neg_3
glyA_1,p3-c3,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\glyA_1
glyA_2,p3-c4,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\glyA_2
glyA_3,p3-c5,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\glyA_3
glyA_neg_1,p3-d3,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\glyA_neg_1
glyA_neg_2,p3-d4,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\glyA_neg_2
glyA_neg_3,p3-d5,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\glyA_neg_3
pyc_1,p3-e3,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\pyc_1
pyc_2,p3-e4,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\pyc_2
pyc_3,p3-e5,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\pyc_3
pyc_neg_1,p3-g3,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\pyc_neg_1
pyc_neg_2,p3-g4,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\pyc_neg_2
pyc_neg_3,p3-g5,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\pyc_neg_3
script,,,
