,Biotin,ATP,acetyl-CoA,Mg-Act,HCT,Kan,formate,HCO3,NADH,PLP,Malate,Pyruvate,Serine,AMP,Oxaloacetate,std,tdcb-0,tdcb-1,tdcb-2,tdcb-3,pyc-0,pyc-1,pyc-2,pyc-3,mdh-0,mdh-1,mdh-2,mdh-3,pathway
tdcb-0,,,,,,1,,,,1,,,1,1,,,10,,,,,,,,,,,,
tdcb-1,,,,,,1,,,,1,,,1,1,,,,10,,,,,,,,,,,
tdcb-2,,,,,,1,,,,1,,,1,1,,,,,10,,,,,,,,,,
tdcb-3,,,,,,1,,,,1,,,1,1,,,,,,10,,,,,,,,,
pyc-0,1,1,1,2,10,,15,10,1,,,1,,,,,,,,,10,,,,,,,,
pyc-1,1,1,1,2,10,,15,10,1,,,1,,,,,,,,,,10,,,,,,,
pyc-2,1,1,1,2,10,,15,10,1,,,1,,,,,,,,,,,10,,,,,,
pyc-3,1,1,1,2,10,,15,10,1,,,1,,,,,,,,,,,,10,,,,,
mdh-0,,,,,,,15,,1,,,,,,1,,,,,,,,,,10,,,,
mdh-1,,,,,,,15,,1,,,,,,1,,,,,,,,,,,10,,,
mdh-2,,,,,,,15,,1,,,,,,1,,,,,,,,,,,,10,,
mdh-3,,,,,,,15,,1,,,,,,1,,,,,,,,,,,,,10,
std-1,,,,,,,,,,,0.05,0.05,0.05,,,10,,,,,,,,,,,,,
std-2,,,,,,,,,,,0.1,0.1,0.1,,,10,,,,,,,,,,,,,
std-3,,,,,,,,,,,0.2,0.2,0.2,,,10,,,,,,,,,,,,,
std-4,,,,,,,,,,,0.3,0.3,0.3,,,10,,,,,,,,,,,,,
std-5,,,,,,,,,,,0.4,0.4,0.4,,,10,,,,,,,,,,,,,
pathway-1,1,1,1,2,10,1,15,10,1,1,,,1,1,,,,,,,,,,,,,,,10
pathway-2,1,1,1,2,10,1,30,10,1,1,,,1,1,,,,,,,,,,,,,,,10
pathway-3,1,1,1,2,10,1,15,10,5,1,,,1,1,,,,,,,,,,,,,,,10
