Sample Name,Sample Position,Method,Data File
mod3_mod1_noGLY_1,P3-A1,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230417/mod3_mod1_noGLY_1
mod3_mod1_noTHF_1,P3-A2,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230417/mod3_mod1_noTHF_1
mod3_mod1_FULL_1,P3-A3,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230417/mod3_mod1_FULL_1
mod3_mod1_noSDS_1,P3-A4,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230417/mod3_mod1_noSDS_1
mod3_mod1_ppk_noGLY_1,P3-A5,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230417/mod3_mod1_ppk_noGLY_1
mod3_mod1_ppk_noTHF_1,P3-A6,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230417/mod3_mod1_ppk_noTHF_1
mod3_mod1_ppk_FULL_1,P3-A7,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230417/mod3_mod1_ppk_FULL_1
mod3_mod1_noPYC_1,P3-A8,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230417/mod3_mod1_noPYC_1
mod3_mod1_noMOD1_1,P3-A9,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230417/mod3_mod1_noMOD1_1
std_1,P3-A10,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230417/std_1
mod3_mod1_noGLY_2,P3-B1,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230417/mod3_mod1_noGLY_2
mod3_mod1_noTHF_2,P3-B2,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230417/mod3_mod1_noTHF_2
mod3_mod1_FULL_2,P3-B3,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230417/mod3_mod1_FULL_2
