"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_1.d"," -ESI EIC(74.0256) Scan Frag=175.0V gs_1.d "
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_1.d" ,"1" ,0.856,0.877,0.889,290.07,185.99,30.13,54.17,8.74,0.011,,0.00,0.00,,,,,0.00,0.00,0.94,297.62,,,  ,134.0434,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_1.d" ,"2" ,0.889,0.916,0.929,535.48,343.41,55.63,100.00,16.15,0.011,,0.00,0.00,,,,,0.00,0.00,1.01,546.92,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_1.d" ,"3" ,0.929,0.975,0.989,177.16,170.71,27.65,33.08,8.03,0.016,,0.00,0.00,,,,,0.00,0.00,2.95,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_1.d" ,"4" ,1.141,1.164,1.184,441.27,319.78,51.80,82.41,15.03,0.012,,0.00,0.00,,,,,0.00,0.00,0.95,399.03,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_1.d" ,"5" ,1.184,1.211,1.240,391.27,617.34,100.00,73.07,29.02,0.031,,0.00,0.00,,,,,0.00,0.00,0.89,524.74,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_1.d" ,"6" ,1.240,1.366,1.505,509.93,489.70,79.32,95.23,23.02,0.016,,0.00,0.00,,,,,0.00,0.00,1.12,623.33,,,  ,248.9679,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_2.d"," -ESI EIC(74.0256) Scan Frag=175.0V gs_2.d "
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_2.d" ,"1" ,0.824,0.869,0.882,340.48,251.83,32.61,47.44,5.51,0.012,,0.00,0.00,,,,,19.25,0.00,2.08,0.00,,,  ,134.0434,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_2.d" ,"2" ,0.882,0.900,0.920,309.61,230.90,29.90,43.13,5.05,0.012,,0.00,0.00,,,,,0.00,-1.08,1.02,421.42,,,  ,134.0434,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_2.d" ,"3" ,0.920,0.936,1.036,432.35,757.07,98.05,60.24,16.55,0.029,,0.00,0.00,,,,,-1.08,-4.35,0.19,0.00,,,  ,134.0434,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_2.d" ,"4" ,1.036,1.069,1.098,717.77,641.62,83.10,100.00,14.03,0.015,,0.00,0.00,,,,,-4.35,-6.11,0.51,514.13,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_2.d" ,"5" ,1.098,1.122,1.158,331.83,574.16,74.36,46.23,12.55,0.029,,0.00,0.00,,,,,-6.11,-7.81,0.78,467.24,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_2.d" ,"6" ,1.158,1.188,1.247,405.79,772.13,100.00,56.53,16.88,0.032,,0.00,0.00,,,,,-7.81,-10.33,0.59,597.20,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_2.d" ,"7" ,1.247,1.277,1.294,461.97,491.44,63.65,64.36,10.74,0.018,,0.00,0.00,,,,,-10.33,-11.64,0.75,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_2.d" ,"8" ,1.294,1.333,1.347,199.34,121.51,15.74,27.77,2.66,0.010,,0.00,0.00,,,,,-11.64,-13.13,1.35,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_2.d" ,"9" ,1.347,1.400,1.413,453.92,251.17,32.53,63.24,5.49,0.009,,0.00,0.00,,,,,-13.13,-15.00,1.23,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_2.d" ,"10" ,1.413,1.460,1.505,526.60,482.44,62.48,73.37,10.55,0.015,,0.00,0.00,,,,,-15.00,-17.62,0.53,783.42,,,  ,248.9679,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_3.d"," -ESI EIC(74.0256) Scan Frag=175.0V gs_3.d "
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_3.d" ,"1" ,0.820,0.863,0.879,446.78,695.35,100.00,81.81,17.86,0.033,,0.00,0.00,,,,,0.00,0.00,3.45,516.47,,,  ,134.0434,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_3.d" ,"2" ,0.879,0.965,0.980,288.20,477.79,68.71,52.78,12.27,0.028,,0.00,0.00,,,,,0.00,0.00,6.69,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_3.d" ,"3" ,0.980,0.992,1.008,195.75,88.33,12.70,35.85,2.27,0.008,,0.00,0.00,,,,,0.00,0.00,0.90,266.91,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_3.d" ,"4" ,1.008,1.025,1.038,232.35,106.00,15.24,42.55,2.72,0.008,,0.00,0.00,,,,,0.00,0.00,0.88,320.36,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_3.d" ,"5" ,1.038,1.123,1.137,432.33,608.01,87.44,79.17,15.62,0.025,,0.00,0.00,,,,,0.00,0.00,2.99,520.28,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_3.d" ,"6" ,1.137,1.165,1.191,471.48,386.08,55.52,86.34,9.92,0.014,,0.00,0.00,,,,,0.00,0.00,0.55,335.90,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_3.d" ,"7" ,1.191,1.203,1.214,453.25,200.88,28.89,83.00,5.16,0.007,,0.00,0.00,,,,,0.00,0.00,1.05,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_3.d" ,"8" ,1.214,1.229,1.246,350.83,217.75,31.32,64.24,5.59,0.010,,0.00,0.00,,,,,0.00,0.00,1.11,390.04,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_3.d" ,"9" ,1.246,1.264,1.294,546.09,607.24,87.33,100.00,15.60,0.019,,0.00,0.00,,,,,0.00,0.00,0.33,309.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_3.d" ,"10" ,1.294,1.395,1.501,262.21,505.75,72.73,48.02,12.99,0.032,,0.00,0.00,,,,,0.00,0.00,0.90,283.78,,,  ,248.9679,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_4.d"," -ESI EIC(74.0256) Scan Frag=175.0V gs_4.d "
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_4.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_4.d" ,"1" ,0.938,0.958,0.969,175.20,77.06,10.51,28.05,2.91,0.007,,0.00,0.00,,,,,6.50,0.00,0.90,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_4.d" ,"2" ,0.969,1.136,1.148,343.38,258.52,35.27,54.98,9.78,0.013,,0.00,0.00,,,,,0.00,-2.08,2.46,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_4.d" ,"3" ,1.148,1.164,1.203,624.56,732.92,100.00,100.00,27.72,0.020,,0.00,0.00,,,,,-2.08,-2.70,0.27,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_4.d" ,"4" ,1.203,1.215,1.232,495.30,331.64,45.25,79.30,12.54,0.011,,0.00,0.00,,,,,-2.70,-3.05,1.05,376.28,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_4.d" ,"5" ,1.232,1.262,1.275,444.39,296.92,40.51,71.15,11.23,0.011,,0.00,0.00,,,,,-3.05,-3.54,1.70,609.13,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_4.d" ,"6" ,1.275,1.319,1.428,260.96,497.53,67.88,41.78,18.82,0.032,,0.00,0.00,,,,,-3.54,-5.30,0.25,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_4.d" ,"7" ,1.428,1.467,1.500,352.63,449.68,61.36,56.46,17.01,0.021,,0.00,0.00,,,,,-5.30,-6.14,0.61,473.68,,,  ,248.9679,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_1.d"," -ESI EIC(74.0256) Scan Frag=175.0V gs_neg_1.d "
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_1.d" ,"1" ,0.813,0.838,0.853,322.26,292.39,36.57,66.91,12.93,0.019,,0.00,0.00,,,,,0.00,0.00,1.01,360.50,,,  ,134.0434,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_1.d" ,"2" ,0.853,0.903,0.919,367.37,255.07,31.90,76.27,11.28,0.017,,0.00,0.00,,,,,0.00,0.00,1.19,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_1.d" ,"3" ,0.919,1.005,1.018,144.37,74.04,9.26,29.97,3.27,0.009,,0.00,0.00,,,,,0.00,0.00,1.09,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_1.d" ,"4" ,1.018,1.071,1.084,356.05,163.96,20.51,73.92,7.25,0.008,,0.00,0.00,,,,,0.00,0.00,1.14,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_1.d" ,"5" ,1.084,1.117,1.131,271.64,230.86,28.87,56.40,10.21,0.014,,0.00,0.00,,,,,0.00,0.00,1.20,464.30,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_1.d" ,"6" ,1.131,1.164,1.174,165.08,73.25,9.16,34.27,3.24,0.007,,0.00,0.00,,,,,0.00,0.00,0.94,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_1.d" ,"7" ,1.174,1.269,1.303,481.65,799.56,100.00,100.00,35.35,0.029,,0.00,0.00,,,,,0.00,0.00,1.10,590.66,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_1.d" ,"8" ,1.303,1.348,1.362,206.53,109.37,13.68,42.88,4.84,0.009,,0.00,0.00,,,,,0.00,0.00,1.20,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_1.d" ,"9" ,1.362,1.396,1.412,183.06,89.33,11.17,38.01,3.95,0.008,,0.00,0.00,,,,,0.00,0.00,0.83,269.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_1.d" ,"10" ,1.412,1.429,1.501,348.61,173.89,21.75,72.38,7.69,0.008,,0.00,0.00,,,,,0.00,0.00,0.82,524.14,,,  ,248.9679,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_2.d"," -ESI EIC(74.0256) Scan Frag=175.0V gs_neg_2.d "
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_2.d" ,"1" ,0.936,0.960,0.986,565.03,626.92,100.00,69.52,23.26,0.018,,0.00,0.00,,,,,0.00,0.00,1.05,624.29,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_2.d" ,"2" ,0.986,1.068,1.082,431.75,332.03,52.96,53.12,12.32,0.013,,0.00,0.00,,,,,0.00,0.00,2.50,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_2.d" ,"3" ,1.082,1.135,1.148,503.18,223.11,35.59,61.91,8.28,0.007,,0.00,0.00,,,,,0.00,0.00,0.96,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_2.d" ,"4" ,1.148,1.192,1.227,330.42,400.37,63.86,40.65,14.85,0.020,,0.00,0.00,,,,,0.00,0.00,0.42,230.42,,,  ,248.9679,,,,,,,,,,,,
