"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_1.d"," -ESI EIC(74.0256) Scan Frag=175.0V gs_1.d "
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_1.d" ,"1" ,0.837,0.916,0.939,531.67,944.46,100.00,69.81,17.71,0.026,,0.00,0.00,,,,,0.00,0.00,2.50,546.92,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_1.d" ,"2" ,0.939,0.962,0.989,761.61,491.09,52.00,100.00,9.21,0.011,,0.00,0.00,,,,,0.00,0.00,0.76,963.76,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_1.d" ,"3" ,0.989,1.038,1.055,388.55,542.50,57.44,51.02,10.17,0.023,,0.00,0.00,,,,,0.00,0.00,1.32,290.88,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_1.d" ,"4" ,1.055,1.083,1.100,501.96,416.65,44.12,65.91,7.81,0.014,,0.00,0.00,,,,,0.00,0.00,0.85,376.45,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_1.d" ,"5" ,1.100,1.114,1.128,503.29,267.98,28.37,66.08,5.03,0.009,,0.00,0.00,,,,,0.00,0.00,1.21,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_1.d" ,"6" ,1.128,1.162,1.180,536.29,540.67,57.25,70.42,10.14,0.017,,0.00,0.00,,,,,0.00,0.00,0.81,399.03,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_1.d" ,"7" ,1.180,1.193,1.260,437.44,878.20,92.98,57.44,16.47,0.033,,0.00,0.00,,,,,0.00,0.00,0.22,421.05,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_1.d" ,"8" ,1.260,1.290,1.306,476.57,399.98,42.35,62.57,7.50,0.014,,0.00,0.00,,,,,0.00,0.00,1.03,331.11,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_1.d" ,"9" ,1.306,1.319,1.333,305.54,164.36,17.40,40.12,3.08,0.009,,0.00,0.00,,,,,0.00,0.00,1.23,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_1.d" ,"10" ,1.333,1.366,1.379,509.93,293.78,31.11,66.95,5.51,0.010,,0.00,0.00,,,,,0.00,0.00,1.03,623.33,,,  ,248.9679,,,,,,,,,,,,
