"D:\Projects\Marchand\Data\Carothers\231003\sds_l_1.d"," -ESI EIC(87.0082) Scan Frag=175.0V sds_l_1.d "
"D:\Projects\Marchand\Data\Carothers\231003\sds_l_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231003\sds_l_1.d" ,"1" ,0.676,0.793,1.030,136562.12,972917.50,100.00,100.00,77.52,0.354,0.089,13600.51,1364.91,0.543,0.560,1.983,2.105,632.25,1364.91,2.40,137435.39,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_l_1.d" ,"2" ,2.150,2.222,2.337,26592.41,130828.72,13.45,19.47,10.42,0.187,0.087,11239.04,9899.40,1.983,2.105,2.449,2.615,8763.52,9899.40,2.24,35793.30,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_l_1.d" ,"3" ,5.384,5.406,5.412,14246.51,16472.50,1.69,10.43,1.31,0.028,0.054,0.00,0.00,5.357,5.357,5.562,5.567,0.00,0.00,0.09,14246.51,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_l_1.d" ,"4" ,5.611,5.628,5.733,12851.73,72126.43,7.41,9.41,5.75,0.122,0.127,0.00,0.00,5.606,5.606,5.767,5.778,0.00,0.00,3.86,12851.73,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_l_1.d" ,"5" ,6.304,6.365,6.415,14656.45,62673.79,6.44,10.73,4.99,0.111,0.646,0.00,0.00,5.767,5.778,6.553,10.999,0.00,0.00,0.08,14656.45,,,  ,248.9705,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\231003\sds_l_2.d"," -ESI EIC(87.0082) Scan Frag=175.0V sds_l_2.d "
"D:\Projects\Marchand\Data\Carothers\231003\sds_l_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231003\sds_l_2.d" ,"1" ,0.739,0.811,1.043,132644.14,766420.01,100.00,100.00,35.97,0.304,0.075,17159.38,8452.51,0.556,0.573,1.033,1.127,5147.35,8452.51,3.22,138574.98,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_l_2.d" ,"2" ,1.299,1.365,1.470,17504.36,129337.57,16.88,13.20,6.07,0.172,0.420,0.00,0.00,1.033,1.127,1.537,1.537,0.00,0.00,0.31,17504.36,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_l_2.d" ,"3" ,1.614,1.625,1.675,20483.90,56283.30,7.34,15.44,2.64,0.061,0.136,0.00,0.00,1.537,1.537,1.842,1.847,0.00,0.00,0.53,20483.90,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_l_2.d" ,"4" ,2.141,2.218,2.233,25866.30,61157.81,7.98,19.50,2.87,0.092,0.033,11045.06,10039.80,2.013,2.052,2.334,2.379,7126.14,10039.80,0.27,35436.70,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_l_2.d" ,"5" ,2.380,2.456,2.482,11258.50,39372.12,5.14,8.49,1.85,0.102,0.096,9861.55,7742.71,2.334,2.379,2.523,2.595,9861.55,7742.71,0.32,19526.43,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_l_2.d" ,"6" ,2.597,2.739,3.813,19458.60,673539.63,87.88,14.67,31.62,1.217,1.548,1420.93,12803.23,2.523,2.595,3.908,4.245,1420.93,11763.85,12.47,22087.13,,,  ,237.0885,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_l_2.d" ,"7" ,4.196,4.256,4.378,10047.67,93824.43,12.24,7.57,4.40,0.183,0.221,9886.61,0.00,3.908,4.245,4.384,4.384,9886.61,0.00,0.34,16638.45,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_l_2.d" ,"8" ,4.389,4.478,4.533,15529.16,106077.39,13.84,11.71,4.98,0.144,0.148,0.00,0.00,4.384,4.384,4.871,4.893,0.00,0.00,0.55,15529.16,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_l_2.d" ,"9" ,4.960,4.977,4.988,10734.22,11554.54,1.51,8.09,0.54,0.028,0.046,9832.99,0.00,4.905,4.965,4.988,5.470,9832.99,0.00,0.22,14668.59,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_l_2.d" ,"10" ,5.464,5.481,5.497,14354.25,21282.26,2.78,10.82,1.00,0.033,0.503,0.00,0.00,4.988,5.470,5.691,5.697,0.00,0.00,0.03,14354.25,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_l_2.d" ,"11" ,5.713,5.752,5.824,13513.18,70131.35,9.15,10.19,3.29,0.111,0.121,0.00,0.00,5.691,5.697,5.830,5.830,0.00,0.00,1.31,13513.18,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_l_2.d" ,"12" ,5.868,5.890,5.907,12505.10,20705.72,2.70,9.43,0.97,0.039,0.077,0.00,0.00,5.830,5.830,6.018,6.040,0.00,0.00,0.24,12505.10,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_l_2.d" ,"13" ,6.444,6.478,6.555,12323.23,55776.17,7.28,9.29,2.62,0.111,0.503,0.00,0.00,6.018,6.040,6.788,6.822,0.00,0.00,0.17,12323.23,,,  ,248.9705,,,,,,,,,,,,
