Sample Name,Sample Position,Method,Data File
mod1-neg_1,P3-H11,Carothers/BEH_a1b1_pos1_v2.m,D:/Projects/Marchand/Data/Carothers/230815/mod1-neg_1
mod1-neg_2,P3-H12,Carothers/BEH_a1b1_pos1_v2.m,D:/Projects/Marchand/Data/Carothers/230815/mod1-neg_2
mod1_1,P3-A11,Carothers/BEH_a1b1_pos1_v2.m,D:/Projects/Marchand/Data/Carothers/230815/mod1_1
mod1_2,P3-A12,Carothers/BEH_a1b1_pos1_v2.m,D:/Projects/Marchand/Data/Carothers/230815/mod1_2
mod3-neg_1,P3-G11,Carothers/BEH_a1b1_pos1_v2.m,D:/Projects/Marchand/Data/Carothers/230815/mod3-neg_1
mod3-neg_2,P3-G12,Carothers/BEH_a1b1_pos1_v2.m,D:/Projects/Marchand/Data/Carothers/230815/mod3-neg_2
glyA_1,P3-B11,Carothers/BEH_a1b1_pos1_v2.m,D:/Projects/Marchand/Data/Carothers/230815/glyA_1
glyA_2,P3-B12,Carothers/BEH_a1b1_pos1_v2.m,D:/Projects/Marchand/Data/Carothers/230815/glyA_2
sds_1,P3-C11,Carothers/BEH_a1b1_pos1_v2.m,D:/Projects/Marchand/Data/Carothers/230815/sds_1
sds_2,P3-C12,Carothers/BEH_a1b1_pos1_v2.m,D:/Projects/Marchand/Data/Carothers/230815/sds_2
pyc_1,P3-D11,Carothers/BEH_a1b1_pos1_v2.m,D:/Projects/Marchand/Data/Carothers/230815/pyc_1
pyc_2,P3-D12,Carothers/BEH_a1b1_pos1_v2.m,D:/Projects/Marchand/Data/Carothers/230815/pyc_2
glyA-sds_1,P3-E11,Carothers/BEH_a1b1_pos1_v2.m,D:/Projects/Marchand/Data/Carothers/230815/glyA-sds_1
glyA-sds_2,P3-E12,Carothers/BEH_a1b1_pos1_v2.m,D:/Projects/Marchand/Data/Carothers/230815/glyA-sds_2
full-neg_1,P3-G7,Carothers/BEH_a1b1_pos1_v2.m,D:/Projects/Marchand/Data/Carothers/230815/full-neg_1
full-neg_2,P3-G8,Carothers/BEH_a1b1_pos1_v2.m,D:/Projects/Marchand/Data/Carothers/230815/full-neg_2
full_1,P3-F11,Carothers/BEH_a1b1_pos1_v2.m,D:/Projects/Marchand/Data/Carothers/230815/full_1
full_2,P3-F12,Carothers/BEH_a1b1_pos1_v2.m,D:/Projects/Marchand/Data/Carothers/230815/full_2
