,Biotin,ATP,CoA,AcCoA,Mg-ACT,HCT,Kan,Formate,Bicarbonate,KOH,AMP,PLP,NAD,NADP,NADH,NADPH,ME1,ME5,ME11,mod3,no_PYC_1,no_PYC_5,no_PYC_11,no_MDH_1,no_MDH_5,no_MDH_11,syn_1,syn_5,syn_11,ACS,ACSPYC,Pyruvate,Malate,Serine,Std
Std_1,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,10
Std_2,,,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.25,0.25,10
Std_3,,,0.125,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,0.125,0.125,10
Std_4,,,0.0675,0.0675,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0675,0.0675,0.0675,10
Std_5,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,10
MOD1,1,1,,1,2,10,1,15,10,30,1,1,,,1,,,,,10,,,,,,,,,,,,,,1,
MOD1_P,1,1,,1,2,10,1,15,10,30,1,1,,,,1,,,,10,,,,,,,,,,,,,,1,
ME1_NADPH,1,1,,1,2,10,1,15,10,30,1,1,,,,1,10,,,,,,,,,,,,,,,,,1,
ME1_NADH,1,1,,1,2,10,1,15,10,30,1,1,,,1,,10,,,,,,,,,,,,,,,,,1,
ME5_NADPH,1,1,,1,2,10,1,15,10,30,1,1,,,,1,,10,,,,,,,,,,,,,,,,1,
ME5_NADH,1,1,,1,2,10,1,15,10,30,1,1,,,1,,,10,,,,,,,,,,,,,,,,1,
ME11_NADPH,1,1,,1,2,10,1,15,10,30,1,1,,,,1,,,10,,,,,,,,,,,,,,,1,
ME11_NADH,1,1,,1,2,10,1,15,10,30,1,1,,,1,,,,10,,,,,,,,,,,,,,,1,
NO_PYC_1,1,1,,1,2,10,1,15,10,30,1,1,,,1,,,,,,10,,,,,,,,,,,,,1,
NO_PYC_1_P,1,1,,1,2,10,1,15,10,30,1,1,,,,1,,,,,10,,,,,,,,,,,,,1,
NO_PYC_5,1,1,,1,2,10,1,15,10,30,1,1,,,1,,,,,,,10,,,,,,,,,,,,1,
NO_PYC_5_P,1,1,,1,2,10,1,15,10,30,1,1,,,,1,,,,,,10,,,,,,,,,,,,1,
NO_PYC_11,1,1,,1,2,10,1,15,10,30,1,1,,,1,,,,,,,,10,,,,,,,,,,,1,
NO_PYC_11_P,1,1,,1,2,10,1,15,10,30,1,1,,,,1,,,,,,,10,,,,,,,,,,,1,
NO_MDH_1,1,1,,1,2,10,1,15,10,30,1,1,,,1,,,,,,,,,10,,,,,,,,,,1,
NO_MDH_1_P,1,1,,1,2,10,1,15,10,30,1,1,,,,1,,,,,,,,10,,,,,,,,,,1,
NO_MDH_5,1,1,,1,2,10,1,15,10,30,1,1,,,1,,,,,,,,,,10,,,,,,,,,1,
NO_MDH_5_P,1,1,,1,2,10,1,15,10,30,1,1,,,,1,,,,,,,,,10,,,,,,,,,1,
NO_MDH_11,1,1,,1,2,10,1,15,10,30,1,1,,,1,,,,,,,,,,,10,,,,,,,,1,
NO_MDH_11_P,1,1,,1,2,10,1,15,10,30,1,1,,,,1,,,,,,,,,,10,,,,,,,,1,
SYN_1,1,1,,1,2,10,1,15,10,30,1,1,,,1,,,,,,,,,,,,10,,,,,,,1,
SYN_1P,1,1,,1,2,10,1,15,10,30,1,1,,,,1,,,,,,,,,,,10,,,,,,,1,
SYN_5,1,1,,1,2,10,1,15,10,30,1,1,,,1,,,,,,,,,,,,,10,,,,,,1,
SYN_5_P,1,1,,1,2,10,1,15,10,30,1,1,,,,1,,,,,,,,,,,,10,,,,,,1,
SYN_11,1,1,,1,2,10,1,15,10,30,1,1,,,1,,,,,,,,,,,,,,10,,,,,1,
SYN_11_P,1,1,,1,2,10,1,15,10,30,1,1,,,,1,,,,,,,,,,,,,10,,,,,1,
NEGSER,1,1,,1,2,10,1,15,10,30,1,1,,,1,,,,,,,,,,,,,,,,,,,1,10
NEGSERP,1,1,,1,2,10,1,15,10,30,1,1,,,,1,,,,,,,,,,,,,,,,,,1,10
NEGMEPNADH,1,1,,1,2,10,1,15,10,30,,,,,1,,,,,,,,,,,,,,,,,1,,,10
NEGMEMNAD,1,1,,1,2,10,1,15,10,30,,,1,,,,,,,,,,,,,,,,,,,,1,,10
NEGMEPNADPH,1,1,,1,2,10,1,15,10,30,,,,,,1,,,,,,,,,,,,,,,,1,,,10
NEGMEMNADP,1,1,,1,2,10,1,15,10,30,,,,1,,,,,,,,,,,,,,,,,,,1,,10
ACS,1,1,1,,2,10,1,15,10,30,,,,,,,,,,,,,,,,,,,,10,,,,,
ACSPYC,1,1,1,,2,10,1,15,10,30,,,,,1,,,,,,,,,,,,,,,,10,1,,,
NEGACS,1,1,1,,2,10,1,15,10,30,,,,,,,,,,,,,,,,,,,,,,,,,10
NEGACSPYC,1,1,1,,2,10,1,15,10,30,,,,,1,,,,,,,,,,,,,,,,,1,,,10
