D:\Projects\Marchand\Data\Carothers\230208\6.d, -ESI EIC(74.0242) Scan Frag=175.0V 6.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\230208\6.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\230208\6.d ,1,2.538,2.549,2.555,375.42,211.09,100,100,100,0.017,1.821,0,0,0.544,2.549,2.549,6.555,0,0,0,375.42,,,  ,248.974,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\230208\blank_1.d, -ESI EIC(74.0242) Scan Frag=175.0V blank_1.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No integration results available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\230208\blank_2.d, -ESI EIC(74.0242) Scan Frag=175.0V blank_2.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No integration results available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\230208\blank_3.d, -ESI EIC(74.0242) Scan Frag=175.0V blank_3.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\230208\blank_3.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\230208\blank_3.d ,1,1.355,1.36,1.371,243.8,150.52,100,100,100,0.017,0.232,0,0,0.058,1.355,1.371,10.987,0,0,0.05,243.8,,,  ,248.974,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\230208\fdhAT_NADH_1.d, -ESI EIC(74.0242) Scan Frag=175.0V fdhAT_NADH_1.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\230208\fdhAT_NADH_1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\230208\fdhAT_NADH_1.d ,1,2.554,2.593,2.637,2140.61,5886.86,100,100,100,0.083,0.056,0,0,0.543,2.549,2.604,6.554,0,0,0.69,2140.61,,,  ,141.0155,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\230208\fdhAT_NADH_2.d, -ESI EIC(74.0242) Scan Frag=175.0V fdhAT_NADH_2.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\230208\fdhAT_NADH_2.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\230208\fdhAT_NADH_2.d ,1,2.553,2.569,2.586,3428.21,4275.17,100,100,100,0.033,0.025,0,0,0.558,2.547,2.608,6.558,0,0,1.01,3428.21,,,  ,141.0155,,,,,,,,,,,
