D:\Projects\Marchand\Data\Carothers\230817\glyA_1.d, -ESI EIC(104.0348) Scan Frag=175.0V glyA_1.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\230817\glyA_1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt)
D:\Projects\Marchand\Data\Carothers\230817\glyA_1.d ,1,3.024,3.063,3.168,10188.49,38416.63,100,100,100,0.144,,0,375.61,0,156.3,,10230.57,,99.59,MM,,,,,M,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\230817\glyA_2.d, -ESI EIC(104.0348) Scan Frag=175.0V glyA_2.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\230817\glyA_2.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M
D:\Projects\Marchand\Data\Carothers\230817\glyA_2.d ,1,3.002,3.069,3.174,21495.17,83552.78,100,100,100,0.051,,0,705.34,,,,,0,0,0.37,19770.19,,,  ,248.9724,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\230817\glyA-neg_1.d, -ESI EIC(104.0348) Scan Frag=175.0V glyA-neg_1.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\230817\glyA-neg_1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M
D:\Projects\Marchand\Data\Carothers\230817\glyA-neg_1.d ,1,3.031,3.059,3.205,6733.63,29993.81,100,100,100,0.058,,511,0,,,,,0,0,0.21,6653.11,,,  ,248.9724,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\230817\glyA-neg_2.d, -ESI EIC(104.0348) Scan Frag=175.0V glyA-neg_2.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
