Sample Name,Sample Position,Method,Data File
sds_1,P3-B7,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/sds_1
sds_2,P3-B8,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/sds_2
sds_plp_1,P3-A7,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/sds_plp_1
sds_plp_2,P3-A8,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/sds_plp_2
sds_neg_1,P3-D7,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/sds_neg_1
sds_neg_2,P3-D8,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/sds_neg_2
sds_plp_neg_1,P3-C7,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/sds_plp_neg_1
sds_plp_neg_2,P3-C8,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/sds_plp_neg_2
pyc_1,P3-E7,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/pyc_1
pyc_2,P3-E8,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/pyc_2
pyc_neg_1,P3-F7,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/pyc_neg_1
pyc_neg_2,P3-F8,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/pyc_neg_2
pyc_b_1,P3-G7,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/pyc_b_1
pyc_b_2,P3-G8,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/pyc_b_2
pyc_b_neg_1,P3-H7,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/pyc_b_neg_1
pyc_b_neg_2,P3-H8,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/pyc_b_neg_2
mod3_1,P3-A11,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/mod3_1
mod3_2,P3-A12,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/mod3_2
gly_shunt_1,P3-D9,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/gly_shunt_1
gly_shunt_2,P3-D10,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/gly_shunt_2
gly_shunt_neg_1,P3-E9,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/gly_shunt_neg_1
gly_shunt_neg_2,P3-E10,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/gly_shunt_neg_2
neg_1,P3-B11,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/neg_1
neg_2,P3-B12,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/neg_2
acs_1,P3-A9,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/acs_1
acs_2,P3-A10,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/acs_2
acs_m3_1,P3-B9,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/acs_m3_1
acs_m3_2,P3-B10,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/acs_m3_2
acs_neg_1,P3-C9,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/acs_neg_1
acs_neg_2,P3-C10,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/acs_neg_2
ppk2_1,P3-C11,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/ppk2_1
ppk2_2,P3-C12,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/ppk2_2
ppk_neg_1,P3-D11,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/ppk_neg_1
ppk_neg_2,P3-D12,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/ppk_neg_2
ppk-noMg_1,P3-E11,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/ppk-noMg_1
ppk-noMg_2,P3-E12,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/ppk-noMg_2
gly_shunt_acs_1,P3-F9,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/gly_shunt_acs_1
gly_shunt_acs_2,P3-F10,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231120_gly_shunt/gly_shunt_acs_2
