,Biotin,NADH,NADPH,Formate,THF,Mg-ACT,FAD,DTT,mod1,metf,AcCoA,mod1_fbp,mod1_fer,metf_fbp,metf_fer,neg,5-methyl-THF,Std
Std_1,,,,,,,,,,,0.5,,,,,,0.5,10
Std_2,,,,,,,,,,,0.25,,,,,,0.25,10
Std_3,,,,,,,,,,,0.125,,,,,,0.125,10
Std_4,,,,,,,,,,,0.0675,,,,,,0.0675,10
Std_5,,,,,,,,,,,0,,,,,,0,10
mod1,1,1,,25,1,2,,,10,,,,,,,,,
mod1_fbp,1,1,,25,1,2,,,,,,10,,,,,,
mod1_fer,1,1,,25,1,2,,,,,,,10,,,,,
mod1_dtt,1,1,,25,1,2,,10,10,,,,,,,,,
mod1_fad,1,1,,25,1,2,1,,10,,,,,,,,,
metf,1,1,,25,1,2,,,,10,,,,,,,,
metf_fbp,1,1,,25,1,2,,,,,,,,10,,,,
metf_fer,1,1,,25,1,2,,,,,,,,,10,,,
metf_dtt,1,1,,25,1,2,,10,,10,,,,,,,,
metf_fad,1,1,,25,1,2,1,,,10,,,,,,,,
neg,1,1,,25,1,2,,,,,,,,,,10,,
