,FdH,Ftl,FolD,MtdA,MetF,FBP,Ferredoxin,ACCb,ACCd,ACCad,FabA,FabB,FabD,FabF,FabG,FabH,FabI,FabZ,TesA,ACPp,ACPs
mod1,2.5,2.5,2.5,2.5,,,,,,,,,,,,,,,,,
metf,2.5,2.5,2.5,2.5,2.5,,,,,,,,,,,,,,,,
mod1_fbp,2.5,2.5,2.5,2.5,,2.5,,,,,,,,,,,,,,,
mod1_fer,2.5,2.5,2.5,2.5,,,2.5,,,,,,,,,,,,,,
metf_fbp,2.5,2.5,2.5,2.5,2.5,2.5,,,,,,,,,,,,,,,
metf_fer,2.5,2.5,2.5,2.5,2.5,,2.5,,,,,,,,,,,,,,
acc_BD,,,,,,,,2.5,2.5,,,,,,,,,,,,
acc_AD,,,,,,,,,,2.5,,,,,,,,,,,
FAS_acpP,,,,,,,,,,,1,1,1,1,1,1,2,2,3,3,
FAS_acpS,,,,,,,,,,,1,1,1,1,1,1,2,2,3,,3
neg,,,,,,,,,,,,,,,,,,,,,
Std,,,,,,,,,,,,,,,,,,,,,
