,Biotin,ATP,CoA,Mg-Act,HCT,Kan,formate,bicarbonate,NADH,Pyruvate,Malate,KOH,pyc,no_pyc,std_0,old_GFP_0,old_GFP_1,old_GFP_2,old_GFP_3,old_GFP_4,new_GFP_0,new_GFP_1,new_GFP_2,new_GFP_3,new_GFP_4
old_GFP_0,,,,,,,,,,,,,,,,10,,,,,,,,,
old_GFP_1,,,,,,,,,,,,,,,,,10,,,,,,,,
old_GFP_2,,,,,,,,,,,,,,,,,,10,,,,,,,
old_GFP_3,,,,,,,,,,,,,,,,,,,10,,,,,,
old_GFP_4,,,,,,,,,,,,,,,,,,,,10,,,,,
new_GFP_0,,,,,,,,,,,,,,,,,,,,,10,,,,
new_GFP_1,,,,,,,,,,,,,,,,,,,,,,10,,,
new_GFP_2,,,,,,,,,,,,,,,,,,,,,,,10,,
new_GFP_3,,,,,,,,,,,,,,,,,,,,,,,,10,
new_GFP_4,,,,,,,,,,,,,,,,,,,,,,,,,10
std_0,,0,,,,,,,,0,0,,,,10,,,,,,,,,,
std_1,,0.125,,,,,,,,0.125,0.125,,,,10,,,,,,,,,,
std_2,,0.25,,,,,,,,0.25,0.25,,,,10,,,,,,,,,,
std_3,,0.5,,,,,,,,0.5,0.5,,,,10,,,,,,,,,,
std_4,,1,,,,,,,,1,1,,,,10,,,,,,,,,,
pyc_pyr_0,1,1,1,2,2.5,1,15,5,1,0,,30,10,,,,,,,,,,,,
pyc_pyr_1,1,1,1,2,2.5,1,15,5,1,0.1,,30,10,,,,,,,,,,,,
pyc_pyr_2,1,1,1,2,2.5,1,15,5,1,0.5,,30,10,,,,,,,,,,,,
pyc_pyr_3,1,1,1,2,2.5,1,15,5,1,1,,30,10,,,,,,,,,,,,
pyc_pyr_4,1,1,1,2,2.5,1,15,5,1,2,,30,10,,,,,,,,,,,,
pyr_0,1,1,1,2,2.5,1,15,5,1,0,,30,,10,,,,,,,,,,,
pyr_1,1,1,1,2,2.5,1,15,5,1,0.1,,30,,10,,,,,,,,,,,
pyr_2,1,1,1,2,2.5,1,15,5,1,0.5,,30,,10,,,,,,,,,,,
pyr_3,1,1,1,2,2.5,1,15,5,1,1,,30,,10,,,,,,,,,,,
pyr_4,1,1,1,2,2.5,1,15,5,1,2,,30,,10,,,,,,,,,,,
pyc_atp_0,1,0,1,2,2.5,1,15,5,1,1,,30,10,,,,,,,,,,,,
pyc_atp_1,1,0.1,1,2,2.5,1,15,5,1,1,,30,10,,,,,,,,,,,,
pyc_atp_2,1,1,1,2,2.5,1,15,5,1,1,,30,10,,,,,,,,,,,,
atp_0,1,0,1,2,2.5,1,15,5,1,1,,30,,10,,,,,,,,,,,
atp_1,1,0.1,1,2,2.5,1,15,5,1,1,,30,,10,,,,,,,,,,,
atp_2,1,1,1,2,2.5,1,15,5,1,1,,30,,10,,,,,,,,,,,
pyc_coa_0,1,1,0,2,2.5,1,15,5,1,1,,30,10,,,,,,,,,,,,
pyc_coa_1,1,1,0.1,2,2.5,1,15,5,1,1,,30,10,,,,,,,,,,,,
pyc_coa_2,1,1,1,2,2.5,1,15,5,1,1,,30,10,,,,,,,,,,,,
coa_0,1,1,0,2,2.5,1,15,5,1,1,,30,,10,,,,,,,,,,,
coa_1,1,1,0.1,2,2.5,1,15,5,1,1,,30,,10,,,,,,,,,,,
coa_2,1,1,1,2,2.5,1,15,5,1,1,,30,,10,,,,,,,,,,,
pyc_nadh_0,1,1,1,2,2.5,1,15,5,0,1,,30,10,,,,,,,,,,,,
pyc_nadh_1,1,1,1,2,2.5,1,15,5,0.1,1,,30,10,,,,,,,,,,,,
pyc_nadh_2,1,1,1,2,2.5,1,15,5,1,1,,30,10,,,,,,,,,,,,
nadh_0,1,1,1,2,2.5,1,15,5,0,1,,30,,10,,,,,,,,,,,
nadh_1,1,1,1,2,2.5,1,15,5,0.1,1,,30,,10,,,,,,,,,,,
nadh_2,1,1,1,2,2.5,1,15,5,1,1,,30,,10,,,,,,,,,,,
pyc_bicarb_0,1,1,1,2,2.5,1,15,0,1,1,,30,10,,,,,,,,,,,,
pyc_bicarb_1,1,1,1,2,2.5,1,15,0.5,1,1,,30,10,,,,,,,,,,,,
pyc_bicarb_2,1,1,1,2,2.5,1,15,5,1,1,,30,10,,,,,,,,,,,,
pyc_bicarb_3,1,1,1,2,2.5,1,15,10,1,1,,30,10,,,,,,,,,,,,
bicarb_0,1,1,1,2,2.5,1,15,0,1,1,,30,,10,,,,,,,,,,,
bicarb_1,1,1,1,2,2.5,1,15,0.5,1,1,,30,,10,,,,,,,,,,,
bicarb_2,1,1,1,2,2.5,1,15,5,1,1,,30,,10,,,,,,,,,,,
bicarb_3,1,1,1,2,2.5,1,15,10,1,1,,30,,10,,,,,,,,,,,
