,PLP,Biotin,AMP,ATP,CoA,Mg-Act,HCT,Kan,formate,bicarbonate,KOH,NADH,Pyruvate,Malate,Serine,Std,pyc,pyc_old,ME
Std_1,,,,,,,,,,,,,0.5,0.5,0.5,10,,,
Std_2,,,,,,,,,,,,,0.25,0.25,0.25,10,,,
Std_3,,,,,,,,,,,,,0.125,0.125,0.125,10,,,
Std_4,,,,,,,,,,,,,0.0675,0.0675,0.0675,10,,,
Std_5,,,,,,,,,,,,,0,0,0,10,,,
Ser_1000,1,1,1,1,1,2,10,1,15,10,30,1,,,1,,10,,
Ser_500,1,1,1,1,1,2,10,1,15,10,30,1,,,0.5,,10,,
Ser_0,1,1,1,1,1,2,10,1,15,10,30,1,,,,,10,,
Ser_1000_old,1,1,1,1,1,2,10,1,15,10,30,1,,,1,,,10,
ME,1,1,1,1,1,2,10,1,15,10,30,1,,,1,,,,10
