,pDA010.188,pRC029,pBT009.J1.119.DA9,pBT009.J1.119.DA2,pBT009.J1.119.DA3,pBT009.J1.119.DA6,pBT009.J1.119.DA10,pBT009.J1.119.DA4,pDA303,pDA304,pDA305,pDA307,pDA309,pDA306,,,,,,,
303_1,4,4,1.8,,,,,,10,,,,,,,2,,1.8,,0.255272505,0.477121255
303_2,4,4,0.6,,,,,,10,,,,,,,0.5,,0.6,,-0.22184875,0.477121255
303_3,4,4,0.2,,,,,,10,,,,,,,0.25,,0.2,,-0.698970004,0.602059991
303_4,4,4,0.05,,,,,,10,,,,,,,0.05,,0.05,,-1.301029996,0.602059991
303_5,4,4,0.0125,,,,,,10,,,,,,,,,0.0125,,-1.903089987,0.77815125
303_6,4,4,0.002083333,,,,,,10,,,,,,,0.0001,,0.002083333,,-2.681241237,-2.681241237
303_OT,4,4,,0.002083333,,,,,10,,,,,,,,,,,,
304_1,4,4,,1.8,,,,,,10,,,,,,,,,,,
304_2,4,4,,0.6,,,,,,10,,,,,,,,,,,
304_3,4,4,,0.2,,,,,,10,,,,,,,,,,,
304_4,4,4,,0.05,,,,,,10,,,,,,,,,,,
304_5,4,4,,0.0125,,,,,,10,,,,,,,,,,,
304_6,4,4,,0.002083333,,,,,,10,,,,,,,,,,,
304_OT,4,4,,,0.002083333,,,,,10,,,,,,,,,,,
305_1,4,4,,,1.8,,,,,,10,,,,,,,,,,
305_2,4,4,,,0.6,,,,,,10,,,,,,,,,,
305_3,4,4,,,0.2,,,,,,10,,,,,,,,,,
305_4,4,4,,,0.05,,,,,,10,,,,,,,,,,
305_5,4,4,,,0.0125,,,,,,10,,,,,,,,,,
305_6,4,4,,,0.002083333,,,,,,10,,,,,,,,,,
305_OT,4,4,,,,0.002083333,,,,,10,,,,,,,,,,
307_1,4,4,,,,1.8,,,,,,10,,,,,,,,,
307_2,4,4,,,,0.6,,,,,,10,,,,,,,,,
307_3,4,4,,,,0.2,,,,,,10,,,,,,,,,
307_4,4,4,,,,0.05,,,,,,10,,,,,,,,,
307_5,4,4,,,,0.0125,,,,,,10,,,,,,,,,
307_6,4,4,,,,0.002083333,,,,,,10,,,,,,,,,
307_OT,4,4,,,,,0.002083333,,,,,10,,,,,,,,,
309_1,4,4,,,,,1.8,,,,,,10,,,,,,,,
309_2,4,4,,,,,0.6,,,,,,10,,,,,,,,
309_3,4,4,,,,,0.2,,,,,,10,,,,,,,,
309_4,4,4,,,,,0.05,,,,,,10,,,,,,,,
309_5,4,4,,,,,0.0125,,,,,,10,,,,,,,,
309_6,4,4,,,,,0.002083333,,,,,,10,,,,,,,,
309_OT,4,4,,,,,,0.002083333,,,,,10,,,,,,,,
306_1,4,4,,,,,,1.8,,,,,,10,,,,,,,
306_2,4,4,,,,,,0.6,,,,,,10,,,,,,,
306_3,4,4,,,,,,0.2,,,,,,10,,,,,,,
306_4,4,4,,,,,,0.05,,,,,,10,,,,,,,
306_5,4,4,,,,,,0.0125,,,,,,10,,,,,,,
306_6,4,4,,,,,,0.002083333,,,,,,10,,,,,,,
306_OT,4,4,0.002083333,,,,,,,,,,,10,,,,,,,
blank,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,LHS,RHS,X ,45 ul,,,,,,,,,,,,,,,,
,,1 ul X,4nm 10ul,40,dCas9,9.509,,,,,,,,,,,,,,,
,,,,40,SoxS,5.056,,,,,,,,,,,,,,,
,,,,,,30.435,water,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,6,pDA303,pDA304,pDA305,pDA307,pDA309,pDA306,,,,,,,,,,
,,0.75 X,10nm 10ul,133.3333333,RFP,4.324,4.843,4.452,4.364,4.255,3.891,,,,,,,,,,
,,,,,,1.676,1.157,1.548,1.636,1.745,2.109,water,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,5 ul,DA9,DA2,DA3,DA6,DA10,DA4,,,,,,,,,,
,,0.75 X,1.8 10,24,scRNA,0.529,0.655,0.491,0.634,0.562,0.653,,,,,,,,,,
,,,,,,4.471,4.345,4.509,4.366,4.438,4.347,water,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,dilutions,,,,,,,,,,,,,,,,
,,,,,3,2+4,,,,,,,,,,,,,,,
,,,,,3,2+4,,,,,,,,,,,,,,,
,,,,,4,2+6,,,,,,,,,,,,,,,
,,,,,4,2+6,,,,,,,,,,,,,,,
,,,,,6,2+10,,,,,,,,,,,,,,,
