,MTHFR,Glycine,Oxaloacetate,PLP,AMP,ATP,AcCoA,CoA,Mg-Act,HCT,Kan,formate,bicarbonate13,KOH,NADH,Pyruvate,Malate,Serine,Std,SHMT+,SHMT-,M+I+,M+I-,M-I+,M-I-,ACS+,ACS-,ME+,ME-,SHMT+TDCB+,SHMT-TDCB+
Std_1,,,,,,,,,,,,,,,,0.5,0.5,0.5,10,,,,,,,,,,,,
Std_2,,,,,,,,,,,,,,,,0.25,0.25,0.25,10,,,,,,,,,,,,
Std_3,,,,,,,,,,,,,,,,0.125,0.125,0.125,10,,,,,,,,,,,,
Std_4,,,,,,,,,,,,,,,,0.0675,0.0675,0.0675,10,,,,,,,,,,,,
Std_5,,,,,,,,,,,,,,,,0,0,0,10,,,,,,,,,,,,
SHMT+,1,1,,1,,,,,,,1,,,,,,,,,10,,,,,,,,,,,
SHMT-,1,1,,1,,,,,,,1,,,,,,,,,,10,,,,,,,,,,
M+I+,,,1,,,1,1,,2,10,1,15,10,30,1,,,,,,,10,,,,,,,,,
M+I-,,,1,,,1,1,,2,10,1,15,10,30,1,,,,,,,,10,,,,,,,,
M-I+,,,1,,,1,1,,2,10,1,15,10,30,1,,,,,,,,,10,,,,,,,
M-I-,,,1,,,1,1,,2,10,1,15,10,30,1,,,,,,,,,,10,,,,,,
ACS+,,,,,,1,,0,2,10,1,15,10,30,1,,,,,,,,,,,10,,,,,
ACS-,,,,,,1,,0,2,10,1,15,10,30,1,,,,,,,,,,,,10,,,,
ME+,,,,,,1,1,,2,10,1,15,10,30,1,1,,,,,,,,,,,,10,,,
ME-,,,,,,1,1,,2,10,1,15,10,30,1,1,,,,,,,,,,,,,10,,
M+I+HCT-,,,1,,,1,1,,2,0,1,15,10,30,1,,,,,,,10,,,,,,,,,
M-I+HCT-,,,1,,,1,1,,2,0,1,15,10,30,1,,,,,,,,,10,,,,,,,
M+I-HCT-,,,1,,,1,1,,2,0,1,15,10,30,1,,,,,,,,10,,,,,,,,
M-I-HCT-,,,1,,,1,1,,2,0,1,15,10,30,1,,,,,,,,,,10,,,,,,
SHMT+TDCB+,1,1,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,10,
SHMT-TDCB+,1,1,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,10
ACS+CoA+,,,,,,1,,1,2,10,1,15,10,30,1,,,,,,,,,,,10,,,,,
ACS-AcCoA+,,,,,,1,1,,2,10,1,15,10,30,1,,,,,,,,,,,,10,,,,
ACS-CoA+,,,,,,1,,1,2,10,1,15,10,30,1,,,,,,,,,,,,10,,,,
ACS+AcCoA+,,,,,,1,1,,2,10,1,15,10,30,1,,,,,,,,,,,10,,,,,
