,Biotin,ATP,Mg-Act,HCT,Kan,formate,HCO3,NADH,PLP,Pyruvate,Serine,KOH,AMP,acetyl-CoA,tdcb_10,tdcb_5,tdcb_2.5,tdcb_.5,tdcb_0,PLP_10,PLP_5,PLP_1,PLP_.1,PLP_0,pyc,pyc_neg
tdcb_10,,,,,1,,,,1,,1,30,1,,10,,,,,,,,,,,
tdcb_5,,,,,1,,,,1,,1,30,1,,,10,,,,,,,,,,
tdcb_2.5,,,,,1,,,,1,,1,30,1,,,,10,,,,,,,,,
tdcb_.5,,,,,1,,,,1,,1,30,1,,,,,10,,,,,,,,
tdcb_0,,,,,1,,,,1,,1,30,1,,,,,,10,,,,,,,
PLP_10,,,,,1,,,,1,,1,30,1,,,,,,,10,,,,,,
PLP_5,,,,,1,,,,1,,1,30,1,,,,,,,,10,,,,,
PLP_1,,,,,1,,,,1,,1,30,1,,,,,,,,,10,,,,
PLP_.1,,,,,1,,,,1,,1,30,1,,,,,,,,,,10,,,
PLP_0,,,,,1,,,,1,,1,30,1,,,,,,,,,,,10,,
AMP_0,,,,,1,,,,1,,1,30,,,,,10,,,,,,,,,
AMP_.1,,,,,1,,,,1,,1,30,0.1,,,,10,,,,,,,,,
AMP_1,,,,,1,,,,1,,1,30,1,,,,10,,,,,,,,,
AMP_10,,,,,1,,,,1,,1,30,10,,,,10,,,,,,,,,
ser_0,,,,,1,,,,1,,,30,1,,,,10,,,,,,,,,
ser_.25,,,,,1,,,,1,,0.25,30,1,,,,10,,,,,,,,,
ser_5,,,,,1,,,,1,,5,30,1,,,,10,,,,,,,,,
kan_0,,,,,,,,,1,,1,30,1,,,,10,,,,,,,,,
kan_10,,,,,10,,,,1,,1,30,1,,,,10,,,,,,,,,
pyc,1,1,2,10,,15,10,1,,1,,30,,1,,,,,,,,,,,10,
pyc_neg,1,1,2,10,,15,10,1,,1,,30,,1,,,,,,,,,,,,10
