Sample Name,Sample Position,Method,Data File
full_complex_mod1_lplA_90min,P3-A1,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\full_complex_mod1_lplA_90min
full_complex_lplA_90min,P3-b1,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\full_complex_lplA_90min
full_complex_mod1_90min,P3-c1,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\full_complex_mod1_90min
full_complex_90min,P3-d1,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\full_complex_90min
Hprot_mod1_90min,P3-e1,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\Hprot_mod1_90min
Hprot_90min,P3-f1,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\Hprot_90min
full_complex_mod1_lplA_DTT_90min,P3-A2,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\full_complex_mod1_lplA_DTT_90min
full_complex_lplA_DTT_90min,P3-b2,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\full_complex_lplA_DTT_90min
full_complex_mod1_DTT_90min,P3-c2,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\full_complex_mod1_DTT_90min
full_complex_DTT_90min,P3-d2,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\full_complex_DTT_90min
Hprot_mod1_DTT_90min,P3-e2,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\Hprot_mod1_DTT_90min
Hprot_DTT_90min,P3-f2,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\Hprot_DTT_90min
full_complex_mod1_lplA_180min,P3-A4,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\full_complex_mod1_lplA_180min
full_complex_lplA_180min,P3-b4,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\full_complex_lplA_180min
full_complex_mod1_180min,P3-c4,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\full_complex_mod1_180min
full_complex_180min,P3-d4,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\full_complex_180min
Hprot_mod1_180min,P3-e4,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\Hprot_mod1_180min
Hprot_180min,P3-f4,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\Hprot_180min
full_complex_mod1_lplA_DTT_180min,P3-A5,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\full_complex_mod1_lplA_DTT_180min
full_complex_lplA_DTT_180min,P3-b5,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\full_complex_lplA_DTT_180min
full_complex_mod1_DTT_180min,P3-c5,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\full_complex_mod1_DTT_180min
full_complex_DTT_180min,P3-d5,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\full_complex_DTT_180min
Hprot_mod1_DTT_180min,P3-e5,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\Hprot_mod1_DTT_180min
Hprot_DTT_180min,P3-f5,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\Hprot_DTT_180min
full_complex_mod1_lplA_300min,P3-a7,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\full_complex_mod1_lplA_300min
full_complex_lplA_300min,P3-b7,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\full_complex_lplA_300min
full_complex_mod1_300min,P3-C7,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\full_complex_mod1_300min
full_complex_300min,P3-d7,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\full_complex_300min
Hprot_mod1_300min,P3-e7,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\Hprot_mod1_300min
Hprot_300min,P3-f7,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\Hprot_300min
full_complex_mod1_lplA_DTT_300min,P3-a8,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\full_complex_mod1_lplA_DTT_300min
full_complex_lplA_DTT_300min,P3-b8,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\full_complex_lplA_DTT_300min
full_complex_mod1_DTT_300min,P3-C8,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\full_complex_mod1_DTT_300min
full_complex_DTT_300min,P3-d8,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\full_complex_DTT_300min
Hprot_mod1_DTT_300min,P3-e8,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\Hprot_mod1_DTT_300min
Hprot_DTT_300min,P3-f8,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230412_mod2\Hprot_DTT_300min
script,,,
