,1,2,3,4,5,6,7,8,9,10,11,12
A,ME1_NADPH_OAA,ME1_NADPH_OAA,ME5_NADPH_OAA,ME5_NADPH_OAA,ME11_NADPH_OAA,ME11_NADPH_OAA,NEGMEO,,,,,
B,ME1_NADH_OAA,ME1_NADH_OAA,ME5_NADH_OAA,ME5_NADH_OAA,ME11_NADH_OAA,ME11_NADH_OAA,NEGMEP,,,,,
C,ME1_NADPH_PYR,ME1_NADPH_PYR,ME5_NADPH_PYR,ME5_NADPH_PYR,ME11_NADPH_PYR,ME11_NADPH_PYR,NEGMEM,,,,,
D,ME1_NADH_PYR,ME1_NADH_PYR,ME5_NADH_PYR,ME5_NADH_PYR,ME11_NADH_PYR,ME11_NADH_PYR,NEGMEO,,,,,
E,ME1_NADP_MAL,ME1_NADP_MAL,ME5_NADP_MAL,ME5_NADP_MAL,ME11_NADP_MAL,ME11_NADP_MAL,NEGMEP,,,,,
F,ME1_NAD_MAL,ME1_NAD_MAL,ME5_NAD_MAL,ME5_NAD_MAL,ME11_NAD_MAL,ME11_NAD_MAL,NEGMEM,,,,,
G,ACS,ACS,ACS,NEGACS,NEGACS,NEGACS,,,,,,
H,Std_1,Std_2,Std_3,Std_4,Std_5,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
