"D:\Projects\Marchand\Data\Carothers\230707_mod2\gcv_1.d"," -ESI EIC(74.0242) Scan Frag=175.0V gcv_1.d "
"D:\Projects\Marchand\Data\Carothers\230707_mod2\gcv_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230707_mod2\gcv_1.d" ,"1" ,3.309,3.430,3.606,35372.73,171547.82,100.00,100.00,96.42,0.068,,0.00,0.00,,,,,0.00,0.00,0.40,33648.43,,,  ,248.9647,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230707_mod2\gcv_1.d" ,"2" ,3.606,3.621,3.650,1781.66,2570.82,1.50,5.04,1.44,0.024,,0.00,0.00,,,,,0.00,0.00,0.64,2140.22,,,  ,248.9647,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230707_mod2\gcv_1.d" ,"3" ,3.650,3.668,3.706,1328.71,1811.31,1.06,3.76,1.02,0.023,,0.00,0.00,,,,,0.00,0.00,0.45,0.00,,,  ,265.0778,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230707_mod2\gcv_1.d" ,"4" ,3.706,3.740,3.786,1107.05,1986.39,1.16,3.13,1.12,0.031,,0.00,0.00,,,,,0.00,0.00,1.48,688.85,,,  ,248.9647,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230707_mod2\gcv_2.d"," -ESI EIC(74.0242) Scan Frag=175.0V gcv_2.d "
"D:\Projects\Marchand\Data\Carothers\230707_mod2\gcv_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230707_mod2\gcv_2.d" ,"1" ,3.334,3.415,3.539,36899.15,159627.39,100.00,100.00,94.23,0.057,,0.00,2231.27,,,,,0.00,0.00,0.40,38285.69,,,  ,248.9647,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230707_mod2\gcv_2.d" ,"2" ,3.539,3.553,3.580,4402.78,5753.91,3.60,11.93,3.40,0.022,,2231.27,0.00,,,,,0.00,0.00,0.63,4604.81,,,  ,248.9647,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230707_mod2\gcv_2.d" ,"3" ,3.580,3.594,3.641,2852.39,4013.67,2.51,7.73,2.37,0.023,,0.00,0.00,,,,,0.00,0.00,0.47,2425.91,,,  ,248.9647,,,,,,,,,,,,
