Sample,Area
NI_0min_1.d ,240559.09
NI_0min_2.d ,158082.39
NI_0min_3.d ,135332.45
NI_1hr_1.d ,25106164.68
NI_1hr_2.d ,27325046.95
NI_1hr_3.d ,461008.42
NI_2hr_1.d ,25041053.41
NI_2hr_2.d ,27805249.22
NI_2hr_3.d ,21562409.94
NI_30min_1.d ,25346700.71
NI_30min_2.d ,22062712.38
NI_30min_3.d ,15997929.31
NI_4hr_1.d ,24493036.35
NI_4hr_2.d ,26799708.45
NI_4hr_3.d ,24736011.61
no_inj.d ,2216.58
no_inj.d ,1532.02
no_inj.d ,483.30
no_inj.d ,45070.47
no_inj.d ,45526.05
no_inj.d ,1213.79
no_inj_2.d ,184.85
no_inj_3.d ,101202.72
no_inj_4.d ,12841.81
PI_0min_1.d ,451930.96
PI_0min_2.d ,20181192.27
PI_0min_3.d ,1952500.09
PI_1hr_1.d ,24972472.89
PI_1hr_2.d ,24713034.14
PI_1hr_3.d ,25207181.83
PI_2hr_1.d ,22682530.61
PI_2hr_2.d ,24443716.76
PI_2hr_3.d ,24188342.18
PI_30min_1.d ,25671012.68
PI_30min_2.d ,26303566.11
PI_30min_3.d ,26714416.66
PI_4hr_1.d ,17381122.55
PI_4hr_2.d ,20345335.57
PI_4hr_3.d ,23200564.84
std_0.d ,123.72
std_1.d ,191006.16
std_2.d ,29305.47
std_3.d ,18543.45
std_4.d ,1367.62
std_5.d ,614.12
