,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,,,,,,,,,,,,neg,neg,,,,,,,,,,,
B,,,,,,,,,,,,TdcB_plus,TdcB_plus,,,,,,,,,,,
C,,,,,,,,,,,,glyA_plus,glyA_plus,,,,,,,,,,,
D,,,,,,,,,,,,mod1_pos,mod1_pos,,,,,,,,,,,
E,,,,,,,,,,,,mod2_pos,mod2_pos,,,,,,,,,,,
F,,,,,,,,,,,,ppkPa_plus,ppkPa_plus,,,,,,,,,,,
G,,,,,,,,,,,,ppk12_plus,ppk12_plus,,,,,,,,,,,
H,,,,,,,,,,,,ppkMt_plus,ppkMt_plus,,,,,,,,,,,
I,,,,,,,,,,,,fdhAT,fdhAT,,,,,,,,,,,
J,,,,,,,,,,,,fdhSN,fdhSN,,,,,,,,,,,
K,,,,,,,,,,,,,,,,,,,,,,,,
L,,,,,,,,,,,,,,,,,,,,,,,,
M,,,,,,,,,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,
