Sample Name,Sample Position,Method,Data File
TdcB_plus_1,P3-A1,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230208\TdcB_plus_1
TdcB_plus_2,P3-A2,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\TdcB_plus_2
TdcB_plus_3,P3-A3,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\TdcB_plus_3
TdcB_neg_1,P3-A4,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\TdcB_neg_1
TdcB_neg_2,P3-A5,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\TdcB_neg_2
TdcB_neg_3,P3-A6,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\TdcB_neg_3
glyA_plus_1,P3-A7,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\glyA_plus_1
glyA_plus_2,P3-A8,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\glyA_plus_2
glyA_plus_3,P3-A9,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\glyA_plus_3
glyA_neg_1,P3-A10,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\glyA_neg_1
glyA_neg_2,P3-A11,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\glyA_neg_2
glyA_neg_3,P3-A12,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\glyA_neg_3
blank_1,no injection,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\blank_1
mod2_pos_1,P3-B7,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\mod2_pos_1
mod2_pos_2,P3-B8,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\mod2_pos_2
mod2_pos_3,P3-B9,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\mod2_pos_3
mod2_neg_1,P3-B10,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\mod2_neg_1
mod2_neg_2,P3-B11,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\mod2_neg_2
mod2_neg_3,P3-B12,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\mod2_neg_3
mod2_form_1,P3-d10,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\mod2_form_1
mod2_form_2,P3-d11,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\mod2_form_2
mod2_form_3,P3-d12,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\mod2_form_3
mod1_pos_1,P3-b1,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\mod1_pos_1
mod1_pos_2,P3-b2,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\mod1_pos_2
mod1_pos_3,P3-b3,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\mod1_pos_3
mod1_neg_1,P3-b4,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\mod1_neg_1
mod1_neg_2,P3-b5,Carothers\BEHamide_A1B1_95to60organic.m,D:\Projects\Marchand\Data\Carothers\230117\mod1_neg_2
