,Biotin,ATP,AcCoA,Mg-ACT,HCT,Kan,Formate,Bicarbonate,KOH,NADH,Pyruvate,Pyc,MalE1,MalE5,Malate,Serine,Std
ME1,,1,1,2,10,1,15,10,30,1,1,,10,,,,
ME5,,1,1,2,10,1,15,10,30,1,1,,,10,,,
ME1ATPDIM,,0.5,1,2,10,1,15,10,30,1,1,,10,,,,
ME5ATPDIM,,0.5,1,2,10,1,15,10,30,1,1,,,10,,,
ME1ATPNIL,,0,1,2,10,1,15,10,30,1,1,,10,,,,
ME5ATPNIL,,0,1,2,10,1,15,10,30,1,1,,,10,,,
ME1NADHDIM,,1,1,2,10,1,15,10,30,0.5,1,,10,,,,
ME5NADHDIM,,1,1,2,10,1,15,10,30,0.5,1,,,10,,,
ME1NADHNIL,,1,1,2,10,1,15,10,30,0,1,,10,,,,
ME5NADHNIL,,1,1,2,10,1,15,10,30,0,1,,,10,,,
ME1BCDIM,,1,1,2,10,1,15,5,30,1,1,,10,,,,
ME5BCDIM,,1,1,2,10,1,15,5,30,1,1,,,10,,,
ME1BCNIL,,1,1,2,10,1,15,0,30,1,1,,10,,,,
ME5BCNIL,,1,1,2,10,1,15,0,30,1,1,,,10,,,
ME1COADIM,,1,0.5,2,10,1,15,10,30,1,1,,10,,,,
ME5COADIM,,1,0.5,2,10,1,15,10,30,1,1,,,10,,,
ME1COANIL,,1,0,2,10,1,15,10,30,1,1,,10,,,,
ME5COANIL,,1,0,2,10,1,15,10,30,1,1,,,10,,,
PYC,1,1,1,2,10,1,15,10,30,1,1,10,,,,,
PYCN,1,1,1,2,10,1,15,10,30,1,1,,,,,,
Std_1,,,,,,,,,,,0.5,,,,0.5,0.5,10
Std_2,,,,,,,,,,,0.25,,,,0.25,0.25,10
Std_3,,,,,,,,,,,0.125,,,,0.125,0.125,10
Std_4,,,,,,,,,,,0.0675,,,,0.0675,0.0675,10
Std_5,,,,,,,,,,,0,,,,0,0,10
